number,value,params_alpha,params_decay_end,params_decay_steps,params_epsilon,params_gamma
4,0.056,0.012440122278218066,0.014647539302236393,7768.250373331125,0.03299054953160372,0.9484217161772432
47,0.073,0.0168290062170959,0.005792605331248911,8597.00869705726,0.017007724362736544,0.9881772496923245
5,0.074,0.09782255996645739,0.007334310843629711,8599.250104203542,0.045716906340364655,0.9888562883907218
3,0.078,0.025765312346332798,0.03360107804941037,2757.005883713839,0.09032895034969235,0.8786988244083404
7,0.099,0.020117006646742576,0.03005581095543262,17787.656486605356,0.032948658537848695,0.8992516010246396
1,0.125,0.014245282127494083,0.03386912508795687,11395.284011015043,0.044038252396981246,0.962122700132542
29,0.144,0.2256767162435639,0.011391638552495087,7270.604913939907,0.10673400977698348,0.9177840422031593
36,0.145,0.18905024042822785,0.008196645039460382,7006.438925750724,0.011086303672945712,0.908511368513517
0,0.147,0.015887784939561177,0.005281461133483823,6116.695994087402,0.012461881350975547,0.9229460225549834
40,0.148,0.011664513961313468,0.13093493157406091,10970.11166021564,0.17470387926703718,0.8881906522942679
10,0.164,0.2969962092445243,0.08813308582354838,1008.2026501952696,0.15758577320755757,0.9219301485968923
19,0.165,0.05139022702279632,0.12305480622001556,16338.381963095739,0.12452206406380584,0.9352477978549804
38,0.19,0.03288835281919143,0.02376787530833724,9533.10837502329,0.05274404440346277,0.9550538842528296
2,0.209,0.02251145536983653,0.11688950316213835,18134.937101731888,0.16259405727928136,0.8759386045597057
8,0.227,0.1145272849247403,0.00705068523199926,11130.02991343815,0.016804475129690136,0.9525709027213521
28,0.228,0.13087717123960577,0.13489051630236626,11645.418836376704,0.14036400003302052,0.9491959366529279
20,0.256,0.19510114130126385,0.05255821611599176,5729.223705472655,0.0814324383129743,0.9622264633156067
24,0.304,0.0739705649672864,0.18480618544289193,13543.09074764771,0.20002742841367568,0.9979548990414675
17,0.342,0.16318174061250693,0.22774601271600767,3854.19273672948,0.23420353490295334,0.8561162886053421
26,0.359,0.038248435692391565,0.1680875577300019,16501.647334872625,0.1945492185244023,0.9827327644176411
14,0.38,0.0479242501514361,0.10035773146551749,15020.849835592098,0.12655090493979249,0.9746400863860956
49,0.387,0.2526665227436859,0.0373212589915116,9192.093907706761,0.07445773455981251,0.9714710581126443
15,0.399,0.18232884860529694,0.0551004275710639,19977.415515896675,0.08532311234968389,0.9375888238807687
32,0.436,0.2399585836441919,0.09031433120657992,12688.162973486444,0.10204384633567419,0.9591290533631357
27,0.449,0.2155954190186733,0.19027906641863584,10039.670625643232,0.2065231231364847,0.9693595090168338
43,0.462,0.20748346569747844,0.02388240085377949,16209.188395977422,0.02829028134974524,0.9906712524141712
18,0.46799999999999997,0.17043159054081547,0.2939397764455487,9877.512463564033,0.2987443276517694,0.9988961806076
23,0.53,0.1316973533083835,0.22308175841406183,14755.115694389375,0.26678474963018173,0.975124823012818
42,0.544,0.29696020189905153,0.2082047777871804,13839.578713076906,0.2506403885904268,0.9701584491785731
16,0.547,0.0621627428411589,0.15357105165893375,3439.417180899676,0.19290624456533786,0.9757620370566445
35,0.571,0.1590450336876922,0.20123844326738163,8504.75913915231,0.2378446928755305,0.9666911169749102
48,0.616,0.14984400518840874,0.08611913901110606,6532.765203794343,0.10721009862142183,0.9611877150245821
37,0.631,0.09522975099303167,0.011890451574303726,1683.6856597727424,0.12102068508464642,0.9391978523543941
46,0.639,0.20730588955540533,0.17039370012320673,11713.430895369966,0.17776200814126786,0.9797762619367143
39,0.662,0.11217580098969597,0.17038158691256589,15248.068438795752,0.22708939131288555,0.993789298574306
34,0.753,0.27447707938924126,0.09290696878012844,10370.121977402518,0.1578301257853984,0.9847602361712169
30,0.776,0.13990355472662527,0.2619557747481728,5069.7563186968055,0.2937114599562246,0.9902461355311633
31,0.861,0.2360335738970766,0.040197125039950404,12266.47213895937,0.06926603394937772,0.9801397323195044
9,0.867,0.09397743763187245,0.05393407002656955,13587.554927071144,0.06274274406968157,0.9848635766074106
6,1.0,0.23694065523262592,0.017600229344677983,6278.965774396572,0.09473808641392292,0.9613235873080813
45,1.0,0.25198690080574915,0.1300747722534384,8839.116770460862,0.14754403828791107,0.9859981046208016
44,1.0,0.24342794759961509,0.16496603398286158,12737.723335945917,0.17066401287724187,0.9782169040083118
11,1.0,0.2923240469314058,0.2153258202408247,14277.395992667232,0.2978645396841107,0.9964510154425122
25,1.0,0.25327971565318613,0.040694425815925736,12371.74683192607,0.1356761151151446,0.9854819587083302
12,1.0,0.28285400731897864,0.22412643499751958,14774.304279093782,0.29251464882040523,0.9943815608106136
21,1.0,0.29370858793994953,0.2061526803358517,12881.88535975931,0.22493700994035504,0.9948953744705571
22,1.0,0.23965617221120253,0.16289975452615668,12120.32430603922,0.20119846222563398,0.9809131460384501
13,1.0,0.15956140760091966,0.20114518339974005,5321.488753709817,0.29471309528657275,0.9674300980017406
41,1.0,0.28942793268080963,0.21503418903736482,14081.059901531058,0.2544470849143185,0.9934218455013704
33,1.0,0.24796811693622936,0.10063743568219757,9476.58178372452,0.15549497072406418,0.9846237161687245
